time_from_start,panda_joint1_pos,panda_joint1_vel,panda_joint2_pos,panda_joint2_vel,panda_joint3_pos,panda_joint3_vel,panda_joint4_pos,panda_joint4_vel,panda_joint5_pos,panda_joint5_vel,panda_joint6_pos,panda_joint6_vel,panda_joint7_pos,panda_joint7_vel,eef_pos_x,eef_pos_y,eef_pos_z,eef_orient_x,eef_orient_y,eef_orient_z,eef_orient_w
2.8,0.000213908,0.00499385,-0.492676,0.238173,-6.76169e-05,-0.00032537,-2.15673,0.214622,5.35806e-06,0.00606571,1.66933,0.0718019,0.785316,-0.0014175,0.398926,-0.000139393,0.589957,-0.923834,0.382788,-0.00185657,0.000778428
2.833,0.000224142,0.00364862,-0.485083,0.219529,-6.33829e-05,-0.00320611,-2.15027,0.186404,1.25349e-05,-0.00432598,1.67211,0.0647104,0.785315,-0.000709611,0.401802,5.43067e-05,0.590289,-0.923921,0.382573,-0.00243004,0.00102685
2.866,0.000224909,0.00435646,-0.478165,0.19529,6.06439e-05,-0.00162034,-2.14436,0.18135,8.78942e-06,0.00359367,1.67334,-0.0123629,0.785295,-0.00182288,0.404442,6.15859e-05,0.590564,-0.923922,0.382566,-0.00318859,0.00134366
2.9,0.000245351,-0.00664827,-0.472521,0.127328,-6.82928e-05,0.00301418,-2.13879,0.137363,-3.40058e-05,-0.00181158,1.67175,-0.0648309,0.785287,0.00197729,0.406715,0.00012142,0.590701,-0.923947,0.382505,-0.00330792,0.00136015
2.933,-0.000265575,-0.00969228,-0.469474,0.0258864,-7.92996e-05,0.00513462,-2.13435,0.0859843,-4.98162e-05,-0.00270601,1.66787,-0.1429,0.785275,0.00156948,0.408339,6.40201e-05,0.590924,-0.923933,0.382544,-0.00253029,0.0010467
2.966,0.000239028,-0.00675675,-0.469369,-0.0249825,-8.32376e-05,0.00434889,-2.13031,0.136716,-0.00016525,-0.00579072,1.66086,-0.237102,0.785283,0.00302495,0.408982,-0.000151692,0.591461,-0.923839,0.382779,-0.00138401,0.000565482
3,0.00023332,0.00115858,-0.469517,0.0192118,7.99131e-05,0.000558608,-2.1223,0.338225,-0.000326111,-0.00966343,1.65052,-0.40377,0.785299,-0.00155978,0.408502,4.12368e-05,0.59273,-0.923936,0.382547,1.55327e-05,-7.51286e-05
3.033,0.000245186,0.00518963,-0.468774,0.0144169,0.000104664,-0.00205606,-2.10834,0.445614,-0.000289048,0.00881883,1.63642,-0.379902,0.785334,-0.00153459,0.407821,0.000101218,0.595709,-0.923961,0.382485,0.000973994,-0.000599049
3.066,-0.000251136,-0.00109101,-0.469323,-0.0453559,8.76112e-05,-0.00230242,-2.093,0.406011,-0.000121312,0.00546023,1.62333,-0.291718,0.78535,-0.000322987,0.407258,0.000121352,0.600825,-0.923959,0.382488,0.00138839,-0.000756995
3.1,0.000189485,0.00903795,-0.472206,-0.108338,-6.83063e-05,-0.00684758,-2.08205,0.258094,0.000120662,0.00699771,1.61662,-0.147441,0.785353,-0.00310067,0.406445,-7.18507e-05,0.607201,-0.923857,0.382738,0.000132233,-0.000141759
3.133,-0.000214631,-0.00534326,-0.475484,-0.0629997,-8.07887e-05,0.00139361,-2.07376,0.273483,5.28266e-05,-0.0155212,1.60894,-0.336729,0.785302,0.00415743,0.40539,5.58665e-05,0.612988,-0.923907,0.382603,-0.00310096,0.00136667
3.166,0.000210412,0.00665582,-0.476776,-0.012825,6.56757e-05,-0.00014282,-2.06227,0.400282,-9.23239e-05,0.00284882,1.5939,-0.511938,0.785288,-0.00101399,0.403951,-0.000120768,0.617573,-0.92383,0.382767,-0.00490697,0.00208002
3.2,0.000261634,-0.00101087,-0.477468,-0.0364718,0.000106384,-0.000558391,-2.04759,0.446044,-0.000137246,-0.000443129,1.57422,-0.565689,0.785298,-0.000240803,0.402349,0.000107165,0.622211,-0.923944,0.382504,-0.00390591,0.00155198
